"id","condition","trial","gameType","S","T","opponentType","encounter","prediction","choice","opponent_choice","rt","reward"
7778381,"single",4,"SG",8,12,"trustful",1,-43,"cheat","cooperate",11742.1999999881,12
7778381,"single",5,"SH",1,6,"trustful",2,87,"cooperate","cooperate",5719,10
7778381,"single",6,"HG",7,6,"pessimist",1,83,"cooperate","cooperate",1862.20000001788,10
7778381,"single",7,"SG",9,14,"pessimist",2,100,"cooperate","cooperate",1008.09999999404,10
7778381,"single",8,"HG",8,7,"envious",1,100,"cooperate","cooperate",827.09999999404,10
7778381,"single",9,"SG",9,14,"envious",2,100,"cooperate","cheat",967.700000017881,9
7778381,"single",10,"HG",8,7,"optimist",4,100,"cooperate","cooperate",1768.39999997616,10
7778381,"single",11,"PD",1,13,"optimist",5,100,"cooperate","cheat",4992.59999999404,1
7778381,"single",12,"SH",1,8,"envious",3,58,"cheat","cheat",4524.5,5
7778381,"single",13,"SG",9,13,"envious",4,-100,"cheat","cheat",2631.59999999404,5
7778381,"single",14,"HG",9,8,"trustful",3,100,"cooperate","cooperate",2987.59999999404,10
7778381,"single",15,"SG",8,14,"envious",5,-100,"cheat","cheat",1973.90000000596,5
7778381,"single",16,"SH",1,6,"pessimist",3,100,"cooperate","cheat",2110.40000000596,1
7778381,"single",17,"SG",8,13,"optimist",6,-65,"cheat","cheat",2622.19999998808,5
7778381,"single",18,"HG",7,7,"pessimist",4,100,"cooperate","cooperate",1652.5,10
7778381,"single",19,"SH",2,6,"optimist",7,-100,"cheat","cooperate",1883.10000002384,6
7778381,"single",20,"PD",1,14,"optimist",8,-100,"cheat","cheat",2001,5
